"simNum"	"IVsNum"	"P_largestGroup"	"eff_largestGroup"	"AIC_random"	"gamma_random"	"prop_random"	"eff_mean_minClass"	"sd_minClass"	"P_minClass_mean"	"eff_mean_maxClass"	"sd_maxClass"	"P_maxClass_mean"	"correct_factor"	"CHVP_test_correct"
"30"	30	82	5.02112753377034e-05	0.167561882644914	-490.906787869741	"0.0296367376283072_0.167561882644914"	"0.499934254742541_0.500065745257459"	0.0351050510532528	0.0417719886914715	0.403159770815895	0.162820336128731	0.0391162772478126	7.80041442036977e-05	1.41585075361636	0.0452994674048747
"31"	31	92	0.0114735384169505	0.0777271088690817	-580.877212703169	"0.0777271088690817_0.11521826805218"	"0.500595933240711_0.499404066759289"	0.0587536185426779	0.0301237502532586	0.0542048241235496	0.134579641533232	0.0322337642306178	6.81137811039727e-05	1.45281044991556	0.144701798310677
"32"	32	110	0.119223252011862	0.0437672906638354	-681.951717153266	"0.0437672906638354_0.172964343697031"	"0.503200482596671_0.496799517403329"	0.0423029641446959	0.0278703627762451	0.131947925945722	0.174923849160205	0.0299416577947946	5.42124463952834e-08	1.10934428161608	0.00144840142552349
"33"	35	104	0.019165116881731	0.081315264024097	-647.585875996903	"0.081315264024097_0.174486647864074"	"0.500403670000145_0.499596329999855"	0.0867251782672411	0.0341697899902525	0.0126439445200838	0.169553077259188	0.0365623782655236	1.0394138071236e-05	1.11113604541358	0.1129472715251
"34"	38	86	0.155966974000846	0.0531249978185598	-519.534629292893	"0.0531249978185598_0.171438103786388"	"0.501513244257712_0.498486755742288"	0.0548554980575782	0.03711262603588	0.143081954027155	0.170777696258166	0.0481027696190484	0.000630084840704656	0.988909409682811	0.0554830370041473
"35"	34	98	0.000416415131257752	0.146850560718151	-572.816631129189	"0.0706597165092481_0.146850560718151"	"0.499766079993037_0.500233920006963"	0.0454864907130524	0.0510654652093696	0.375268136171304	0.159718311003316	0.0401693928194738	0.000134928429721657	1.26374419273448	0.109579195325886
"36"	33	108	0.00328743076283331	0.0677920666510921	-683.701185229224	"0.0677920666510921_0.146685169506371"	"0.50291166220665_0.49708833779335"	0.0705775991304717	0.0225439313540715	0.00224883801495052	0.144356670386031	0.0329325631057832	2.74026806124068e-05	1.46555731850688	0.113077345216315
"37"	36	105	5.50950221666438e-11	0.191937363683386	-619.209767528736	"-0.0370544095879967_0.191937363683386"	"0.495879849648934_0.504120150351066"	-0.033158954038845	0.0400247591973004	0.409306673471323	0.188490926053752	0.0262323334188893	1.04922684194463e-10	1.50455692240278	9.77301729192865e-06
"38"	37	103	4.78222731385169e-06	0.165785598354688	-637.584447028615	"0.0705118449784352_0.165785598354688"	"0.498763135773124_0.501236864226876"	0.078420099762253	0.0379790285720111	0.0414761012468637	0.160156269918423	0.0343107554583922	9.28881815372069e-06	1.18771059404081	0.138693882080305
"39"	41	119	1.07507683473357e-07	0.0999550360000954	-736.312925056094	"0.0999550360000954_0.0999551380191917"	"0.5_0.5"	0.096700441936161	0.0176566957375192	2.48332432117033e-07	0.105141525199239	0.0222420470133443	6.35237176008166e-06	1.34377578738684	0.8663224862931
"40"	40	90	0.304541160414897	0.0435460481438781	-537.707361935006	"0.0435460481438781_0.125725103690618"	"0.50101558678642_0.49898441321358"	0.036621119029299	0.0421670712964731	0.387469321181879	0.132385842221721	0.0446378566092939	0.00387553838275486	0.983695547494425	0.116340622869475
"41"	39	136	0.831300199927751	-0.00787910249084155	-809.600517367223	"-0.00787910249084155_0.202887685637685"	"0.500282387221512_0.499717612778488"	0.00289738733542437	0.0369135944856314	0.937553659605591	0.19195324817685	0.038783197480925	2.18079772617274e-06	1.55261425560241	0.00105958987834531
"42"	42	102	0.126677891009394	0.044497044792118	-641.632166681887	"0.044497044792118_0.209309189064682"	"0.501165775276364_0.498834224723636"	0.0553889138726798	0.0288934365597813	0.0580630303976542	0.199213228050883	0.0304066964205872	2.42403346785295e-09	1.42409141233926	0.0012597054857646
"43"	45	115	7.55367126922117e-08	0.176314869661163	-711.427875070942	"0.0160719406369445_0.176314869661163"	"0.498028038123564_0.501971961876436"	0.033373160427369	0.0396922001665187	0.402220675418273	0.15947681009242	0.0306571732249942	8.79079329637145e-07	1.05540189710508	0.0130582979358375
"44"	48	109	7.91211240776414e-07	0.159973357877542	-681.458512034603	"-0.0141301806728995_0.159973357877542"	"0.498772494775406_0.501227505224594"	-0.00402064280617669	0.031331417324033	0.898129462072773	0.15055466820225	0.0305117482894237	2.93791659138037e-06	1.17194821265738	0.000563302896838356
"45"	44	114	0.00742381157543604	0.0622649924080414	-714.877098059961	"0.0622649924080414_0.158354069149072"	"0.50952827666821_0.49047172333179"	0.0601806336396511	0.0228376828508069	0.00959065525237636	0.160938092065339	0.0278722443408948	6.90979511992592e-08	1.73277255894684	0.0148131853883992
"46"	43	109	0.000191347674816307	0.148316731435508	-611.508649470571	"0.0207018630978145_0.148316731435508"	"0.491797079759538_0.508202920240462"	0.00451888999749766	0.0451176961775179	0.92040472277384	0.159147322677062	0.0383939521072567	6.77710835366451e-05	1.72974653410986	0.0247846743614314
"47"	47	114	2.41892759097115e-09	0.172288965572651	-692.872166663853	"0.0299742843305518_0.172288965572651"	"0.497502632454091_0.502497367545909"	0.0370049445647049	0.035175749007449	0.295043262880869	0.165423197087916	0.0265653947356252	8.34380762104047e-09	1.39067147579996	0.00667694770846075
