risk	disease	IVs	P_random	eff_random	AIC_random	gamma_random	gSigma2_random	prop_random	b_random	sigma2_random	b_prop_random	P_fixed	eff_fixed	AIC_fixed	gamma_fixed	prop_fixed
smoking	cad	125	0.673757246717652	0.737999666974653	-742.810705004535	0.0952003281115009_0.737999666974653_0.737999691680159	0.804128591168175_0_0	0.32623623802466_0.33688188098767_0.33688188098767	-0.000767470208453971	0_4.2571555395554e-05	0.50157497652938_0.49842502347062	0.176114559644698	0.574260382630018	-747.930626699051	0.574255733784381_0.574260382630018_0.574260701112898	0.333333333333208_0.333333333333406_0.333333333333386
dbp	asthma	1116	0.622083367821429	-0.0285692146286962	-5642.45718631007	-0.0285692146286962_0.0196212251709993_0.00386776939287543	0_0_0.0202194911704736	0.337792961839663_0.337704920557242_0.324502117603095	0.000450309622714277	0_0	0.5_0.5	0.908463984203752	0.031625148603394	-5622.92297746821	-0.0342565347872506_-0.00536180018703294_0.031625148603394	0.333304773385603_0.333330757391577_0.33336446922282
sbp	t2d	1093	0.619921564854696	0.00919574419982833	-4895.23789229197	0.00919570766325325_0.00919574419982833_0.0325906310852746	0_0_0.013962993563373	0.345214089964884_0.345214089964884_0.309571820070231	-0.000833137982531292	0_4.25354749698929e-05	0.500098560769508_0.499901439230492	0.333336016739881	0.0134516736782199	-4887.1234533922	0.0134498527906049_0.0134516736782199_0.0134626227057945	0.333333333344416_0.333333333364646_0.333333333290938
sbp	asthma	1054	1	-0.0130381955547568	-5482.21960030236	-0.0130381955547568_0.00189092045057226_0.020449161538159	0_0.000137239300129628_0.00038161457868545	0.333391810504956_0.333317885076414_0.33329030441863	0.000835080750833308	0_0.0001454103635159	0.503002184609634_0.496997815390366	0.569817039884178	0.0290481663707058	-5488.54459561147	-0.0100133670197413_-0.00998072310977027_0.0290481663707058	0.333318993041332_0.333318993041382_0.333362013917285
dbp	stroke	1363	0.0934815577910201	0.0276371802191309	-7483.84178380625	0.0276371802191309_0.0504185201711115_0.0504616042317765	0.00506922298173748_0_0	0.33364634787757_0.333176826062297_0.333176826060133	0.000231064439888924	0_4.34795785747233e-05	0.499878222742629_0.500121777257371	0.41063274907433	0.0576811717043985	-7475.04691676002	-0.00702828144966609_0.0576811717043985_0.0768329521461557	0.330636830987908_0.33478269579922_0.334580473212872
dbp	t2d	1168	0.965110285843288	0.00248113554255699	-5238.05146392421	0.00248113554255699_0.00248924973952445_0.0407381603707427	0_0_0.0160196122361399	0.336610940777567_0.336610940777563_0.326778118444871	0.00036959533616227	0_0.00013696556167537	0.50109600343253_0.49890399656747	0.955740530787762	0.0438797665934282	-5244.77662545082	-0.00451756625042662_-0.00396908258800999_0.0438797665934282	0.333307936356257_0.333307935896291_0.333384127747452
sbp	stroke	1313	0.0193632223196692	0.033275217848826	-7210.0677274053	0.0218141250226522_0.033275217848826_0.0243772532925901	0.000158491864478556_0_0.00223496252608049	0.333551977361797_0.333672712738347_0.332775309899856	0.00081847985354892	0_2.59909780365527e-05	0.500066193137721_0.499933806862279	0.561443365362042	0.0270812484582538	-7203.5003749461	0.00342746108333802_0.0270812484582538_0.0504247563538833	0.333238079618661_0.33391690692823_0.332845013453109
sbp	cad	1334	1.56922734190314e-10	0.0202774429120493	-7359.04624887652	0.0369820547703467_0.0202774429120493_0.0501196838513211	0.00488196181040786_0_0	0.326171675819273_0.337055308758397_0.336773015422331	-0.000533713493353829	0_3.64051395289384e-05	0.49962689807328_0.50037310192672	0.00244253984990115	0.0352407132013827	-7302.68451441917	0.0110287577726392_0.0352407132013827_0.0599403088688075	0.332934018869868_0.333904701600217_0.333161279529914
dbp	cad	1409	0.00390319755470589	0.0875293041332962	-7727.41523299835	0.0471566794594569_0.0179168136568546_0.0875293041332962	0.0138291634884484_0.000849792581666315_0.000172411952525455	0.327892413365207_0.335871569846025_0.336236016788769	0.000178451105023665	0_6.67044603474065e-06	0.500003673381123_0.499996326618877	0.084954953629649	0.0638910129295206	-7712.70869226406	-0.00951646973118507_0.0638910129295206_0.0970262466825597	0.330363590510748_0.335008096211743_0.334628313277508
height	asthma	5244	0.922513544791205	0.00817126479142553	-26621.7319631973	-0.157427537246351_0.00817126479142553_0.00817127717441432	0.925863457039565_0_0	0.328914246584844_0.335542876707578_0.335542876707578	-8.84615839178856e-05	0_5.43157423921186e-05	0.500472739364223_0.499527260635777	0.383075156107923	0.108331493445205	-26604.7738900713	-0.328808484160247_0.108331493445205_0.108353292003296	0.333078039700546_0.33346098014976_0.333460980149693
height	t2d	5358	0.869704956133936	0.0279353876193498	-25825.2573425472	-0.0880487404542525_0.0279353876193498_0.0279365580730528	0.42000176315041_0_0	0.332983266312857_0.333508366843572_0.333508366843571	7.72540635382495e-05	0_0.000113222257731936	0.501069202685292_0.498930797314708	0.169070611884084	0.188930546574083	-25822.0913974894	-0.4160400823695_0.188930546574083_0.188972013041414	0.33297712088952_0.333511439555261_0.33351143955522
height	stroke	5357	0.992502230702101	-0.0496242799050373	-30503.8483491487	-0.0928229653057604_-0.0496242799050373_-0.000793178080212843	0.0709474034592598_0_0.000406492060324497	0.333227241209846_0.333386500355335_0.333386258434819	3.82668756688331e-05	0_6.21213524517567e-05	0.501268194093616_0.498731805906384	0.887445828575037	0.0709635201930073	-30507.3825517668	-0.245151219497264_0.0305720066305019_0.0709635201930073	0.333292045914537_0.333353898070555_0.333354056014909
height	cad	5377	0.26540565529367	-0.0687918963388682	-31852.9182880454	-0.219572623110503_-0.0687918963388682_-0.0687919028968297	0.225862811371216_0_0	0.331961132123349_0.334019433938325_0.334019433938325	5.84938998996612e-06	0_9.40155320502913e-05	0.503108897518569_0.496891102481431	0.368356889400901	-0.0911943138347484	-31837.0163841577	-0.329009698545521_-0.0911943138347484_0.0855584222370338	0.333171959302052_0.333464709554498_0.33336333114345
