"simNum"	"IVsNum"	"P_largestGroup"	"eff_largestGroup"	"eff_mean_minClass"	"sd_minClass"	"P_minClass"	"P_minClass_mean"	"eff_mean_maxClass"	"sd_maxClass"	"P_maxClass"	"P_maxClass_mean"	"corTest_1"	"CHVP_test"	"AIC_1"	"gamma_1"	"prop_1"
"42"	98	0.00670210518083156	0.102918732575028	0.0988564526261128	0.0371434805525698	0.00670210518083156	0.00910654167860201	0.349444652539362	0.0405387543692819	3.17397554326318e-13	1.27023375669005e-13	3.88578058618805e-14	5.1733004324225e-06	-543.341460183228	"0.102918732575028_0.341926030351955"	"0.502287324800244_0.497712675199756"	NA
"26"	89	0.017108432441763	0.0668029230389661	0.0721245574732445	0.0274854353762083	0.017108432441763	0.0102412080607632	0.332715449583516	0.0379779768166929	6.45675290438692e-14	1.27586812453251e-13	0	2.71905103944811e-08	-511.527904445389	"0.0668029230389661_0.338173375981552"	"0.504681188419625_0.495318811580375"	NA
"64"	121	2.94661720442396e-14	0.325334844564352	0.11348535578489	0.0371485189484719	0.00458947772005121	0.00277435960067816	0.317590251984933	0.0376724557973829	2.94661720442396e-14	8.90635433462023e-14	0	0.000114434229223562	-705.491321050555	"0.107315149337455_0.325334844564352"	"0.498966664677323_0.501033335322677"	NA
"50"	106	0.0103195457792815	0.109511929799864	0.118120008502944	0.0419262222473707	0.0103195457792815	0.00578679265334995	0.288951214792893	0.0403217408550552	1.58469758949723e-11	1.11152358263197e-10	3.2218672174622e-13	0.00331617451142717	-621.335588859049	"0.109511929799864_0.304849745986455"	"0.500720973089035_0.499279026910965"	NA
"20"	101	2.90578049882911e-23	0.361757042861826	0.0728957895196835	0.0382930006902141	0.119947253506061	0.05983331840437	0.35958980536948	0.0277784324712674	2.90578049882911e-23	4.24623364083225e-23	0	1.35927695517389e-09	-591.784111031595	"0.0600586697596828_0.361757042861826"	"0.491201025427196_0.508798974572804"	NA
"58"	97	0.00291068391705396	0.129147429601999	0.140849033927562	0.0422696951120085	0.00291068391705396	0.00122474389468229	0.28668596268578	0.0437485970404312	5.22964907715407e-10	2.80682546691238e-09	7.22577553347037e-12	0.016515118699722	-571.331020969355	"0.129147429601999_0.302434222318239"	"0.503044104659396_0.496955895340604"	NA
"96"	117	1.19219117631398e-15	0.304937679454699	0.122645216658143	0.0479093651618936	0.0165704557854912	0.011754083789678	0.293139363502707	0.0328804453511866	1.19219117631398e-15	8.18934041663872e-15	1.04805053524615e-13	0.00334475450870296	-679.714436416428	"0.116486902954836_0.304937679454699"	"0.497681096745619_0.502318903254381"	NA
"35"	107	0.00649352035016993	0.0921991528474393	0.104134175821807	0.0332040214093792	0.00649352035016993	0.00221549822187306	0.291592239896346	0.0400271879089126	1.35619815565847e-11	5.97171700030701e-11	4.44089209850063e-16	0.000312745180777393	-627.129031515898	"0.0921991528474393_0.303530553968101"	"0.504713625480637_0.495286374519363"	NA
"72"	120	4.02338032386876e-19	0.365964055973254	0.123825080483678	0.0361403982133171	0.00136317091120857	0.000840818570091942	0.353951508338442	0.0342118339664293	4.02338032386876e-19	2.77337928004784e-18	0	3.759718823765e-06	-690.073206352048	"0.11853023597382_0.365964055973254"	"0.498603511162959_0.501396488837041"	NA
"4"	107	0.00188648122969555	0.0816566036459584	0.0856040808351818	0.0256179242870384	0.00188648122969555	0.00115141880430942	0.306199218615259	0.0448118468604056	3.59706328708043e-10	5.44662608459806e-10	1.33226762955019e-15	1.92307907834975e-05	-618.084231986559	"0.0816566036459584_0.310032460264653"	"0.503959098779006_0.496040901220994"	NA
