simNum	IVsNum	P_1	eff_1	eff_mean_minClass	sd_minClass	P_minClass	P_minClass_mean	eff_mean_maxClass	sd_maxClass	P_maxClass	P_maxClass_mean	corTest_1	CHVP_test	AIC_1	gamma_1	prop_1
10	112	0.0292884707409125	0.0735086015180641	0.0738173202871583	0.0332894033332297	0.0292884707409125	0.0286302490082996	0.267576334513237	0.0406381904700292	5.25480486015052e-09	1.57551156316527e-09	9.13726871942799e-11	0.000225690192037444	-640.006387664304	0.0735086015180641_0.257378604114998	0.50621720069879_0.49378279930121	
56	98	0.036310675335978	0.089267460132814	0.0894781387503749	0.0420504042100729	0.036310675335978	0.0358820840493246	0.273112900833515	0.056604905435046	8.68579919095243e-06	5.20545038885814e-06	1.12589460865564e-07	0.0092089585508621	-539.498509386401	0.089267460132814_0.265893377172637	0.50167487263978_0.49832512736022	
18	111	0.00335473202157085	0.0993022422650644	0.0958891948894415	0.0331168029570567	0.00335473202157085	0.00456727776821972	0.232486959363029	0.0552405272972731	9.73819992775157e-05	5.26659330048875e-05	6.6538488295409e-05	0.0339336958701831	-632.58537070983	0.0993022422650644_0.223458975800415	0.5030068270472_0.4969931729528	
33	120	0.0357431153211324	0.071136680625922	0.069086557346693	0.0334923732221631	0.0357431153211324	0.0413118585264366	0.280015052067723	0.0457681590481219	1.28523668213853e-08	1.24685852490196e-08	3.33066907387547e-15	0.000199879086073043	-696.760360223573	0.071136680625922_0.279724152726785	0.500996870057092_0.499003129942908	
94	113	0.00341812821061444	0.124107347360884	0.116055698308356	0.0414910987408682	0.00341812821061444	0.00607061635014723	0.299816985724181	0.0456555615612883	2.47599038319008e-09	1.67123173022718e-09	2.23841485347265e-08	0.00289498660844343	-641.002024623581	0.124107347360884_0.296103551621405	0.501410092615714_0.498589907384286	
71	102	0.115829694492877	0.0424263745178532	0.0484331554991458	0.026747902205271	0.115829694492877	0.0731560272619503	0.292637235246072	0.0451759221711376	1.42231745329363e-09	3.42781673928944e-09	0	3.29605846882054e-06	-578.885088168003	0.0424263745178532_0.301086098897276	0.508198107129311_0.491801892870689	
64	111	0.00536580302277586	0.120309037768822	0.0981763567871436	0.0423529390095952	0.00536580302277586	0.022295780244824	0.285834527550321	0.0562897694754025	5.88636625179963e-06	1.56851298619615e-06	5.91994249488081e-06	0.00772297708443823	-603.534163641604	0.120309037768822_0.268044995631037	0.502241444630354_0.497758555369646	
42	114	0.0659641948968649	0.0549025301907738	0.0641617221935557	0.029570597168185	0.0659641948968649	0.0321173381528232	0.316528374694198	0.0365681840131035	5.58190333853668e-15	3.8689072447145e-14	0	8.03759654225573e-08	-639.613647549983	0.0549025301907738_0.329912447189819	0.501996377065324_0.498003622934676	
49	107	0.00017384477416621	0.0860777707643938	0.0830619597978856	0.0221149796542534	0.00017384477416621	0.00028260803397201	0.263635067636907	0.033602801542187	3.9513222684735e-12	3.63130770841046e-12	6.17212947418011e-11	7.16117624565393e-06	-627.307127209688	0.0860777707643938_0.26307185722208	0.510033907569271_0.489966092430729	
80	106	0.00443483008513475	0.0840919587616676	0.0854193123239081	0.0289140921852548	0.00443483008513475	0.00386918351676978	0.214407616084004	0.0537815894557398	0.000148868499628604	0.000124054468850444	1.77275387698295e-05	0.0346488096910923	-614.253568751829	0.0840919587616676_0.211714452396927	0.507004693472251_0.492995306527749	
57	100	5.00703710824609e-05	0.150149508747747	0.156722356624058	0.0354031445414533	5.00703710824609e-05	2.46497603741535e-05	0.30244350370631	0.0659310942213441	2.96633848497971e-06	1.31700119303731e-05	1.34251290084819e-08	0.0515071665051203	-581.890640537602	0.150149508747747_0.326804952488498	0.520011073816479_0.479988926183521	
3	107	2.93320413895006e-08	0.284900988719693	0.0982183728835557	0.0514940365186101	0.0722178296776274	0.0591788291599506	0.280076464637414	0.0475721131623981	2.93320413895006e-08	4.6643792590813e-08	1.63180580159406e-11	0.00948462058608567	-604.923159095778	0.0935062192129379_0.284900988719693	0.499924376883974_0.500075623116025	
11	99	0.00023671635938305	0.0722619966643685	0.07316776686116	0.0189317761833666	0.00023671635938305	0.0001998560409138	0.34800841770665	0.0468674380933707	2.57092349039431e-11	4.17722807832243e-11	0	5.40755395691187e-08	-557.026956583039	0.0722619966643685_0.352707026051376	0.521573413786609_0.478426586213391	
26	117	0.0370597371108988	0.0591482532906895	0.0589701626772704	0.0280402080586884	0.0370597371108988	0.0376225551463654	0.324091175106719	0.0355199608482493	1.10149417407046e-15	2.67071116243818e-15	0	4.67023844904138e-09	-667.002296506922	0.0591482532906895_0.329938761005614	0.502734106241562_0.497265893758438	
