simNum	IVsNum	P_random	eff_random	AIC_random	gamma_random	prop_random	eff_mean_minClass	sd_minClass	P_minClass_mean	eff_mean_maxClass	sd_maxClass	P_maxClass_mean	correct_factor	CHVP_test_correct
40	115	0.00526127090130713	0.0886051566152462	-726.435948033394	-0.0345350800617188_0.0886051566152462	0.499930713011495_0.500069286988505	-0.0175095567307358	0.0306414953922908	0.56883118266734	0.0716345414958258	0.0311404555680011	0.0232463194398638	1.60045642104092	0.0864156611151045
41	105	0.982643525593827	-0.000581024469736563	-635.487955827141	-0.000581024469736563_-0.000575388308834198	0.500000000000002_0.499999999999998	-0.0226637556540144	0.0266436831063908	0.396932446909159	0.0275579328902355	0.0339640390106878	0.418997352503119	1.461226796207	0.369923911965848
45	105	0.000648907845317337	0.0564772199013756	-693.871631909769	0.0564716560650158_0.0564772199013756	0.5_0.5	0.0538700477443764	0.0172872551047992	0.00236866099125481	0.057633322129015	0.0160595146963354	0.000508517936986873	1.86795213755668	0.982684789323864
43	101	0.213747897347971	0.0487985284035737	-626.453414555463	0.0487985284035737_0.0489149571657121	0.500000000001233_0.499999999998767	0.00940887866861548	0.0389985613048419	0.809845906314765	0.0873379891197733	0.0400977974760986	0.0317471926766141	1.09365989718317	0.182600085278203
46	101	0.122820290670483	-0.049338300436664	-622.686716203642	-0.049338300436664_0.108075974179152	0.500906535929755_0.499093464070245	-0.0369723540736372	0.0317043841888494	0.246323879391681	0.0969874502900238	0.0351456470133355	0.00688433815719606	1.35576182884411	0.00818641764728258
44	123	0.459103513467768	0.0231619377794121	-719.045289422533	0.0231619377794121_0.077100838399829	0.509793205126626_0.490206794873374	0.0159378606639364	0.0311870000120292	0.61024537170918	0.0806526174846174	0.0384870417829075	0.0381871414913689	3.52302556169999	0.723444620116775
48	94	0.894959873425762	-0.00416661195828464	-590.398167545513	-0.00416661195828464_0.0761352721396528	0.502483468825426_0.497516531174574	0.00326243885273422	0.0314716626066348	0.917660214120934	0.0690736132181869	0.0353524993634303	0.0537231972764306	9.99994439035756	0.996826076884388
47	97	0.954667913316364	-0.00248847278097359	-560.747139838936	-0.00248847278097359_0.0517223111557243	0.50005748945922_0.499942510540779	-0.022389993518005	0.0436615118469342	0.609263282089246	0.0760758277153733	0.0469904326053967	0.108735774441135	1.22321463794186	0.16224170578346
50	104	0.661790940594822	0.0222106721356118	-615.47976969328	0.0222106721356118_0.0222186063996932	0.500000000000003_0.499999999999997	-0.0137863558827647	0.0506272944614422	0.785928240684569	0.0442006488476163	0.03095069405378	0.156288621111575	1.88907940353836	0.592652704401507
49	102	0.283567473509729	-0.0365557303671807	-618.097293771328	-0.0365557303671807_0.0922058592979894	0.500786888941894_0.499213111058106	-0.0270275178426818	0.0339082738103448	0.427275909230102	0.0810217663097737	0.0485590712183791	0.098309905228812	1.43343997604575	0.114985084399588
52	102	0.835052858692123	-0.00848107780726917	-585.508625939808	-0.00848656031518255_-0.00848107780726917	0.5_0.5	-0.027135862741951	0.0403937053230563	0.503254672304224	0.0105091644366445	0.0406251759272563	0.796403972422817	2.33251248073194	0.862088620395063
51	106	0.121153723048983	0.0547640123821949	-635.50815893051	0.0547640123821949_0.080227586016099	0.500033942873618_0.499966057126382	0.0377619909995235	0.0350465330753867	0.283734462136622	0.0989634765282824	0.0406485215315982	0.0165939354591868	1.66067079610631	0.435656192944167
53	86	0.650739381585349	0.018937523822759	-484.044341038764	0.018937523822759_0.0189772109213249	0.500000000000033_0.499999999999967	-0.0259147605934044	0.0416810265385393	0.535776919697738	0.0522968250891093	0.045649381897182	0.255167808913524	1.06209109567459	0.220737865696519
54	124	0.953245953646707	0.0013669255010412	-788.688475317415	0.0013669255010412_0.0510795660667593	0.502646091421428_0.497353908578572	0.00483216104197844	0.0232665072217424	0.835816512722649	0.0463285322065752	0.0247953393651625	0.0640802737621849	1.09409054373944	0.246301220247126
57	111	0.258210035110457	0.0259976065125486	-701.470453583391	0.0259883551408723_0.0259976065125486	0.499999999999995_0.500000000000005	0.0183675483507805	0.0205302528936576	0.372923535097731	0.0324866660957399	0.0228748013102667	0.158379205500776	1.41893372263838	0.786706598089469
58	114	0.0157306476602166	0.0510557419395604	-703.68482270284	0.0510557419395604_0.0510624383491775	0.5_0.5	0.0391601832174439	0.0208208519457399	0.0625711708734019	0.0644312386367629	0.0253301061910063	0.0123207863250744	2.06922920735157	0.757911677449578
55	105	0.201124652015306	-0.0243415151790695	-642.032509880945	-0.0243415151790695_0.09715264631957	0.519812813852977_0.480187186147023	-0.0214386632944627	0.0189207081204004	0.259786339007939	0.0956986804023347	0.0390266324328653	0.015865936773357	1.36954994718018	0.0122356429471398
56	105	0.264444782086117	0.0412739526561232	-633.090601889485	0.0412739526561232_0.0426886693585682	0.500000001846097_0.499999998153903	0.0124965328651367	0.0367859413400938	0.734760416534551	0.0739641502334382	0.0446475058122236	0.100609476579983	1.39846705820062	0.406763746262386
60	103	0.631373266746149	0.0149736144765783	-609.459514713436	0.0149736144765783_0.0149816351823001	0.500000000000002_0.499999999999998	-0.00255009353192067	0.031114335969436	0.934840092570019	0.0362989315193991	0.027631601977105	0.191902884868025	1.35731783010543	0.468152369394645
62	103	0.0260805407918993	0.0528327174808773	-621.082788472228	0.00750354838327373_0.0528327174808773	0.475066924458477_0.524933075541523	0.00679278945569354	0.0324108940935268	0.834410773183779	0.0525464047780059	0.0233988106568836	0.0268811471196222	1.04600065998257	0.265184405559092
59	103	0.976151766767123	-0.00102900535559603	-632.245345572776	-0.00102900535559603_0.0242820689340172	0.500975456545068_0.499024543454932	-0.0266382146390305	0.0343377173202171	0.43967905353932	0.0510599858509741	0.0296666136794499	0.0882597707226369	1.30718295267205	0.126165230854675
61	97	0.0493698592000694	-0.0574964062239991	-566.75913235271	-0.0574964062239991_0.186517192869289	0.501901292262738_0.498098707737262	-0.051481956181204	0.0288841814276133	0.0778522368740742	0.183571478821219	0.0390578498961928	8.68908879893758e-06	1.70606597380635	5.11358691293749e-06
63	109	0.540402396070534	-0.0142230077413296	-681.235127140535	-0.0142230077413296_0.0720890909301914	0.505025986151269_0.494974013848731	-0.00893373486612356	0.0231585417290353	0.700430180916833	0.0664852898771906	0.0325430784859147	0.0434879155537155	1.31379183305945	0.0882803011441837
64	99	0.00144858110609836	0.114386091590303	-611.539409177546	-0.0304957479892113_0.114386091590303	0.499075556602698_0.500924443397302	-0.0129589619715305	0.0397196255682511	0.744922651915752	0.0981945314107884	0.0348981012367133	0.00591790062522612	1.36338753191444	0.0579103039197887
68	92	0.0618557928152696	0.0415906426957314	-571.361489516537	0.0184944850961617_0.0415906426957314	0.492003886299397_0.507996113700603	0.0117530691466937	0.0249179460444292	0.638290701318034	0.0479455245222882	0.0219983040326192	0.0318757078441953	1.02570784641764	0.283817852181076
67	96	0.189531671013698	-0.0351545430549485	-593.890363806477	-0.0351545430549485_0.0845467542374898	0.502728236375815_0.497271763624185	-0.0318478767578009	0.0266034077435563	0.234232581812153	0.0837906673906837	0.0356507685708341	0.0208258251646318	1.06770638346449	0.0104427841796982
65	113	0.544767627639952	0.0206052645884781	-689.645226379827	0.0205792556071427_0.0206052645884781	0.499999999999981_0.50000000000002	-0.00810258366015969	0.0323576980403205	0.802731631781453	0.042645689253853	0.0339197128243068	0.211277145621706	1.39287751982472	0.394186052563842
66	106	0.594112388774471	-0.0158162246969735	-680.083821074732	-0.0158162246969735_0.100718062675046	0.500220311039622_0.499779688960378	0.0140013686567844	0.0295896279314305	0.637063427232977	0.0708474849844742	0.0290243058563599	0.0163204737840684	1.58043442502133	0.296538568813477
69	113	0.343192524803274	-0.0218988585906778	-703.807990538772	-0.0218988585906778_0.065229734475811	0.504941049330507_0.495058950669493	-0.0189516853063519	0.0230051830659141	0.411803632616744	0.0623319947590308	0.0280892860740517	0.0284979476710463	2.65160304300549	0.136348617765143
71	91	0.00628804380277711	0.0892309396439719	-542.463201723588	-0.0267895970664155_0.0892309396439719	0.49440964464595_0.50559035535405	-0.0227641659463321	0.0413338135812996	0.58317674395159	0.0868854506602071	0.0318903020215863	0.00773664426267835	1.36584749466717	0.0583457266170483
72	91	0.400393331731084	0.0257568276139758	-566.348059873462	0.0257568276139758_0.132027508264982	0.503081673863745_0.496918326136255	0.03392385095879	0.0304841632072999	0.268742729638713	0.122830753041364	0.0382530788471325	0.00183476471397052	1.31875718767956	0.103086701555242
70	108	0.716424561466371	-0.012655125471648	-662.850886078209	-0.012655125471648_0.0823086355748115	0.502221833702097_0.497778166297903	-0.00989268229268493	0.0347473747628107	0.776421969815486	0.0793816082174359	0.041992650562455	0.0614141709732381	1.3516003017453	0.1527646519982
76	91	0.0981046346736788	0.030190833264858	-571.282945329898	0.030185588177192_0.030190833264858	0.5_0.5	0.0279763473713724	0.0183383336267379	0.130624466774644	0.0314438495925786	0.0180625568850408	0.0851307911748486	1.07432212204573	0.910212725759309
73	104	0.000679418772363098	0.113886349195512	-629.223562513802	-0.0325846572015555_0.113886349195512	0.498315413451318_0.501684586548682	-0.0324853630828679	0.0346912522463013	0.351250650900431	0.113483651312833	0.0325007163499388	0.000708196307239478	1.25575413158511	0.00330221492061404
74	104	0.582556520287084	0.0170483159590299	-623.829179280186	0.0170483159590299_0.0266664257913215	0.509574173054472_0.490425826945528	-0.0069824877479478	0.0309184659695432	0.821776869539553	0.0499622187263388	0.0283262665305394	0.0807286612150043	1.38077128414991	0.257740368015944
79	90	2.14952559232029e-05	0.126431925189103	-549.627046181602	-0.0345972111322567_0.126431925189103	0.498091452244729_0.501908547755271	-0.0243482625103684	0.0346336770473424	0.483876522691553	0.116628144631331	0.0281756980449902	7.894707506863e-05	1.45337197517737	0.00334803237715257
78	106	0.95993054184264	-0.00135802101449444	-659.522929773063	-0.00135802101449444_0.0600892144513516	0.500689741711722_0.499310258288278	0.00407434479749989	0.0269658286717597	0.880192347019144	0.0556025551940944	0.0328678262904174	0.0936687582260075	1.28036211329173	0.298041105288963
77	113	0.601240179458994	0.0129986787904365	-700.891071076307	0.0129986787904365_0.128991956709108	0.509118645486555_0.490881354513445	0.0149997322631345	0.024801601264666	0.54654263685603	0.127901438321627	0.03280858717781	0.000165384673301839	1.58465688161122	0.0143042081834346
75	128	0.418080592541853	0.0258521174223945	-778.651780049919	0.025801969917437_0.0258521174223945	0.499999999999985_0.500000000000015	-0.0104279998562914	0.0364501992236696	0.775276115880841	0.0575199718474361	0.0318217858118773	0.0730409459776229	1.55443815140931	0.276016342658856
