simNum	IVsNum	P_1	eff_1	eff_mean_minClass	sd_minClass	P_minClass	P_minClass_mean	eff_mean_maxClass	sd_maxClass	P_maxClass	P_maxClass_mean	corTest_1	CHVP_test	AIC_1	gamma_1	prop_1
87	114	0.085883542344677	-0.0592903004914561	-0.0583501507483606	0.0342191429294718	0.085883542344677	0.0909065733637242	0.0867527680745284	0.0472660099821239	0.0496218598988224	0.0690738731339404	2.92965847137339e-08	0.0128949484609215	-653.238035034128	-0.0592903004914561_0.0938002108574474	0.508365705740364_0.491634294259636	
42	106	0.0171532578463356	0.127518133316707	-0.0864751594747879	0.0420561053895352	0.0299799000278114	0.0422447368479889	0.126120157376416	0.0526521334543031	0.0171532578463356	0.0183755294563021	1.22124532708767e-14	0.00160576687223224	-602.544304455917	-0.0925342303559367_0.127518133316707	0.498055893139508_0.501944106860492	
11	91	0.705624640341438	0.0226356344236821	-0.129151322267689	0.0377376245075113	0.119304559089303	0.000935910697647781	0.0962604176968969	0.0597340237950193	0.705624640341438	0.11057592152382	0.0138005819193303	0.00142141589277293	-519.296871329258	-0.059348790704921_0.0226356344236821	0.499889330171922_0.500110669828078	
34	97	0.0892054930895259	-0.0617522999335134	-0.0602989516360698	0.0359654161961654	0.0892054930895259	0.0968780136831034	0.109768353200715	0.0443339988513413	0.0151311227726438	0.0150398448656554	6.69666588848372e-09	0.00289144351171124	-555.700232650077	-0.0617522999335134_0.109666269238827	0.506470671333893_0.493529328666107	
80	88	0.0884004875953127	-0.074568887311682	-0.0413512356509289	0.0432728894560663	0.0884004875953127	0.341926079294774	0.159293266782452	0.0550029406116792	0.00106813792750402	0.00477767413004515	0	0.00414416699697642	-502.957186445373	-0.074568887311682_0.186209015225296	0.501764115609591_0.498235884390409	
3	109	3.13746423453151e-05	-0.125300309791871	-0.11051918344208	0.0288262447942613	3.13746423453151e-05	0.000212354136096359	0.131380369663291	0.0483279732165172	0.00352027053986837	0.00764155272462098	0	1.7176393894871e-05	-622.926814147813	-0.125300309791871_0.144202877550497	0.503197312131153_0.496802687868847	
72	96	0.314704051454037	-0.0507906682933121	-0.0522079708660616	0.0502505272134292	0.314704051454037	0.301463379864318	0.0787250634035563	0.0447389234964921	0.0802229964888014	0.0816854953057767	5.91255718440653e-05	0.0516460339722023	-556.753707187711	-0.0507906682933121_0.0791112737934364	0.500361290571241_0.499638709428759	
12	111	3.05177659084195e-09	-0.144985565885664	-0.138259943123717	0.0224707944682353	3.05177659084195e-09	1.26075657355865e-08	0.137311206939735	0.028246869315588	1.42867088757895e-06	3.90641767065103e-06	0	2.2637181519886e-14	-649.048806642056	-0.144985565885664_0.1440535365247	0.50606160145206_0.49393839854794	
58	118	0.0121026439381617	-0.0750655543753699	-0.0708741075798287	0.0294509173258606	0.0121026439381617	0.0176703135589311	0.102404811852048	0.0542832063698467	0.0473479390359426	0.061707572124535	9.5625729557014e-12	0.00501944865618555	-686.646390156313	-0.0750655543753699_0.108799624587171	0.503510681702312_0.496489318297688	
20	103	0.0515154414362441	-0.103638011339447	-0.0782812683365406	0.052600266172429	0.0515154414362441	0.139775576336971	0.127587360576349	0.064916637340792	0.0200728082509422	0.0520867804787752	4.44089209850063e-15	0.0137413593502628	-559.15208459397	-0.103638011339447_0.153335751351102	0.500645444531587_0.499354555468413	
